era_label,sub-era,sub-sub-era,Section,undefined,year-cleaned,start,end,year-3,era
Prehistory ,Sentient species prehistory,Sentient species prehistory,0,,Eons_ã_25000 BBY,-50000,-35000,Eons_ã_25 millennia BBY,Prehistory (Eons_ã_25 millennia BBY)
Prehistory ,Sentient species history (chronology undefined),Pre-hyperspace travel,0,1,,-35000,-30000,Eons_ã_25 millennia BBY,Prehistory (Eons_ã_25 millennia BBY)
Prehistory ,Sentient species history (chronology undefined),Post-hyperspace travel,0,1,,-30000,-25000,Eons_ã_25 millennia BBY,Prehistory (Eons_ã_25 millennia BBY)
The Old Republic ,Ancient beginnings (25000 BBY),Ancient beginnings,0,1,25000 BBY,-25000,-12000,25000 BBY,The Old Republic (25 millennia _ã_ 1000 BBY)
The Old Republic ,Civilization,Civilization,0,1,25000_ã_5000 BBY,-12000,-5000,25000 _ã_ 5000 BBY,The Old Republic (25 millennia _ã_ 1000 BBY)
The Old Republic ,Fall of the Old Republic (5000 _ã_ 1000 BBY),Battles with the Jedi,1,,5000 BBY,-5000,-4950,5000 BBY,The Old Republic (25 millennia _ã_ 1000 BBY)
The Old Republic ,Fall of the Old Republic (5000 _ã_ 1000 BBY),Fall of the Old Republic,1,,5000_ã_1000 BBY,-4950,-1050,5000 _ã_ 1000 BBY,The Old Republic (25 millennia _ã_ 1000 BBY)
The Old Republic ,Fall of the Old Republic (5000 _ã_ 1000 BBY),Dark Age,1,,1000 BBY,-1050,-1000,1000 BBY,The Old Republic (25 millennia _ã_ 1000 BBY)
Republic Era ,The Galactic Republic,Rise of the Galactic Republic,1,,1000_ã_300 BBY,-1000,-300,1000 _ã_ 300 BBY,Republic Era (1000_ã_19 BBY)
Republic Era ,High Republic Era (300 _ã_ 100 BBY),High Republic Era,1,,300_ã_100 BBY,-300,-100,300 _ã_ 100 BBY,Republic Era (1000_ã_19 BBY)
Republic Era ,Period of Stagnation,Period of Stagnation,1,,100_ã_32 BBY,-100,-40,100 _ã_ 32 BBY,Republic Era (1000_ã_19 BBY)
Republic Era ,100 _ã_ 32 BBY,Before the Invasion of Naboo,1,,40-32 BBY,-40,-32,100 _ã_ 32 BBY,Republic Era (1000_ã_19 BBY)
Republic Era ,Fall of the Republic (32_ã_19 BBY),Prelude to galactic war,1,,(32_ã_22 BBY),-32,-22,32_ã_22 BBY,Republic Era (1000_ã_19 BBY)
Republic Era ,Fall of the Republic (32_ã_19 BBY),Clone Wars,1,,22_ã_19 BBY,-22,-19,22_ã_19 BBY,Republic Era (1000_ã_19 BBY)
Imperial Era ,"""The Dark Times"" (19_ã_4 BBY)","""The Dark Times""",3,,19_ã_4 BBY,-19,-4,19_ã_4 BBY,Imperial Era (19_ã_5 ABY)
Imperial Era ,Galactic Civil War (4 BBY_ã_5 ABY),Galactic Civil War,3,,4 BBY_ã_5 ABY,-4,5,4 BBY_ã_5 ABY,Imperial Era (19_ã_5 ABY)
New Republic Era ,Peace (5_ã_28 ABY),Peace,3,,5_ã_28 ABY,5,29,5_ã_28 ABY,New Republic Era (5_ã_34 ABY)
New Republic Era ,Cold War (29_ã_34 ABY),Cold War,3,,29_ã_34 ABY,29,34,29_ã_34 ABY,New Republic Era (5_ã_34 ABY)
A war renewed ,,A war renewed ,3,,34_ã_35 ABY,34,35,34 _ã_ 35 ABY,A war renewed (34 _ã_ 35 ABY)
Thereafter,,Thereafter,3,,after,35,40,after,Thereafter
