event,era,sub-era,sub-sub-era,year-cleaned,start,end,start+deprecated,end,yearcode,year-3,year-2,year,order-code,y-key
The universe begins forming.[2],Prehistory (Eons–25 millennia BBY),Sentient species prehistory,,Eons–25 millennia BBY,-35000,-30000,,,0,Eons–25 millennia BBY,Eons–25 millennia BBY,Eons–25 millennia BBY,0,0
"The galaxy is formed around a super-massive black hole at its center,[3] which stars come to rotate around.[1]",Prehistory (Eons–25 millennia BBY),Sentient species prehistory,,Eons–25 millennia BBY,-35000,-30000,,,0,Eons–25 millennia BBY,Eons–25 millennia BBY,Eons–25 millennia BBY,1,1
"Midi-chlorians, microscopic symbiotic organisms that connects the Living Force—the energy of all life—to the Cosmic Force, another aspect of the energy field known as the Force, are birthed from the Wellspring of Life.[4].",Prehistory (Eons–25 millennia BBY),Sentient species prehistory,,Eons–25 millennia BBY,-35000,-30000,,,0,Eons–25 millennia BBY,Eons–25 millennia BBY,Eons–25 millennia BBY,2,2
"Birth of the Father, the Son, and the Daughter—Force wielders who come to live on Mortis.[5]",Prehistory (Eons–25 millennia BBY),Sentient species prehistory,,Eons–25 millennia BBY,-35000,-30000,,,0,Eons–25 millennia BBY,Eons–25 millennia BBY,Eons–25 millennia BBY,3,3
"Billions to millions of years before the Imperial Era, lava flows on Dagobah, forming Mount Dagger before disappearing to allow for the flourishing of non-sentient life.[6]",Prehistory (Eons–25 millennia BBY),Sentient species prehistory,,Eons–25 millennia BBY,-35000,-30000,,,0,Eons–25 millennia BBY,Eons–25 millennia BBY,Eons–25 millennia BBY,4,4
A non-sentient species lives on the planet Crul millions of years before they evolve into the sentient Crolute.[7],Prehistory (Eons–25 millennia BBY),Sentient species prehistory,,Eons–25 millennia BBY,-35000,-30000,,,0,Eons–25 millennia BBY,Eons–25 millennia BBY,Eons–25 millennia BBY,5,5
"A primitive species lives on the planet Abednedo, eventually evolving into the sentient Abednedo.[7]",Prehistory (Eons–25 millennia BBY),Sentient species prehistory,,Eons–25 millennia BBY,-35000,-30000,,,0,Eons–25 millennia BBY,Eons–25 millennia BBY,Eons–25 millennia BBY,6,6
"Batuu, a planet on the edge of the Outer Rim Territories, is colonized millennia after a great cataclysm resulted in the planet's giant trees being destroyed and eventually petrified.[8]",Prehistory (Eons–25 millennia BBY),Sentient species history (chronology undefined),Pre-hyperspace travel,Eons–25 millennia BBY,-35000,-30000,,,0,Eons–25 millennia BBY,Eons–25 millennia BBY,Eons–25 millennia BBY,7,7
"A sentient ancestral species[9] invents the hyperdrive after studying the hyperspace-travelling purrgil,[10] opening up the galaxy for exploration.[9]      Hyperspace",Prehistory (Eons–25 millennia BBY),Sentient species history (chronology undefined),Pre-hyperspace travel,Eons–25 millennia BBY,-35000,-30000,,,0,Eons–25 millennia BBY,Eons–25 millennia BBY,Eons–25 millennia BBY,8,8
"Devaronians, naturally adept as scouts, become active as galactic explorers from their native planet Devaron, independently developing the hyperdrive.[6]",Prehistory (Eons–25 millennia BBY),Sentient species history (chronology undefined),Post-hyperspace travel,30000 BBY,-30000,-30000,,,0,Eons–25 millennia BBY,Eons–25 millennia BBY,Eons–25 millennia BBY,9,0
The Outer Rim planet Benetage is abandoned.[6],Prehistory (Eons–25 millennia BBY),Sentient species history (chronology undefined),Post-hyperspace travel,30000 BBY,-30000,-30000,,,0,Eons–25 millennia BBY,Eons–25 millennia BBY,Eons–25 millennia BBY,10,1
"By this point, human civilization had developed on Empress Teta.[6]",Prehistory (Eons–25 millennia BBY),Sentient species history (chronology undefined),Post-hyperspace travel,27000 BBY,-27000,-27000,,,0,Eons–25 millennia BBY,Eons–25 millennia BBY,Eons–25 millennia BBY,11,0
The Galactic Republic is formed.[11][12],The Old Republic (c. 25 millennia – c. 1000 BBY),Ancient beginnings (c. 25000 BBY),,25000 BBY,-25000,-25000,,,1,c. 25000 BBY,c. 25000 BBY,c. 25 millennia – c. 1000 BBY,12,0
"The Dai Bendu, the religious group that would be attributed with the first holocrons, exists as the would-be precursor to the Jedi Order.[13]",The Old Republic (c. 25 millennia – c. 1000 BBY),Ancient beginnings (c. 25000 BBY),,25000 BBY,-25000,-25000,,,1,c. 25000 BBY,c. 25000 BBY,c. 25 millennia – c. 1000 BBY,13,1
"In pursuit of the preservation of peace and justice, an individual who came to be known as the Prime Jedi founds the Jedi Order on Ahch-To.[14][11]      Mosaic depiction of the Prime Jedi",The Old Republic (c. 25 millennia – c. 1000 BBY),Ancient beginnings (c. 25000 BBY),,25000 BBY,-25000,-25000,,,1,c. 25000 BBY,c. 25000 BBY,c. 25 millennia – c. 1000 BBY,14,2
"Shortly after the founding of the Jedi Order, the world Ilum is discovered by a Jedi scout through Force-assisted hyperspace navigation, and is eventually identified by survey teams as a source of kyber crystals, news of which leads to the lockdown of Ilum on the orders of the Jedi High Council.[6]",The Old Republic (c. 25 millennia – c. 1000 BBY),Ancient beginnings (c. 25000 BBY),,25000 BBY,-25000,-25000,,,1,c. 25000 BBY,c. 25000 BBY,c. 25 millennia – c. 1000 BBY,15,3
"The First Jedi Temple is constructed on[14] the rocky islands[15] of Ahch-To. Soon after, the Jedi village is also constructed on the Temple island.[14]",The Old Republic (c. 25 millennia – c. 1000 BBY),Ancient beginnings (c. 25000 BBY),,25000 BBY,-25000,-25000,,,1,c. 25000 BBY,c. 25000 BBY,c. 25 millennia – c. 1000 BBY,16,4
"Within a few years of discovering the Crystal Caves on Ilum, a Jedi Temple is erected over the entrance, becoming a site of pilgrimage of Jedi of all ages. A Padawan ceremony called the Gathering is later established. Ilum's Holenesh Canyon outpost is established to study a periodical Force anomaly.[6]",The Old Republic (c. 25 millennia – c. 1000 BBY),Ancient beginnings (c. 25000 BBY),,25000 BBY,-25000,-25000,,,1,c. 25000 BBY,c. 25000 BBY,c. 25 millennia – c. 1000 BBY,17,5
"The comet Kinro is predicted to carve its way through the Core Worlds. Before it can enter the Mid Rim, members of the Jedi Order come together and will it apart, although several Jedi lose their lives or minds in the process.[16]",The Old Republic (c. 25 millennia – c. 1000 BBY),Ancient beginnings (c. 25000 BBY),,25000 BBY,-25000,-25000,,,1,c. 25000 BBY,c. 25000 BBY,c. 25 millennia – c. 1000 BBY,18,6
"The Blood Court is established on Thisspias, the site of many battles during the Great Manifest Period.[13]",The Old Republic (c. 25 millennia – c. 1000 BBY),Ancient beginnings (c. 25000 BBY),,21019 BBY,-21019,-21019,,,1,c. 25000 BBY,c. 25000 BBY,c. 25 millennia – c. 1000 BBY,19,7
"As credited by the Jedi, the planet Ossus comes to be their cultural center, and is made a near-mandatory pilgrimage site.[18]",The Old Republic (c. 25 millennia – c. 1000 BBY),c. 25000 – c. 5000 BBY,,12000 BBY,-12000,-12000,-25000,-5000,1,c. 25000 – c. 5000 BBY,c. 25000 – c. 5000 BBY,c. 25 millennia – c. 1000 BBY,20,8
Utapau is settled by colonists who eventually evolve into the Pau'an and Utai species.[19],The Old Republic (c. 25 millennia – c. 1000 BBY),c. 25000 – c. 5000 BBY,,25000–5000 BBY,-25000,-5000,-25000,-5000,1,c. 25000 – c. 5000 BBY,c. 25000 – c. 5000 BBY,c. 25 millennia – c. 1000 BBY,21,9
The ice moon Mesula is shattered.[20],The Old Republic (c. 25 millennia – c. 1000 BBY),c. 25000 – c. 5000 BBY,,25000–5000 BBY,-25000,-5000,-25000,-5000,1,c. 25000 – c. 5000 BBY,c. 25000 – c. 5000 BBY,c. 25 millennia – c. 1000 BBY,22,10
"The first Grand Zigoth of Utapau, Krynbalt Kyr, dies.[20]",The Old Republic (c. 25 millennia – c. 1000 BBY),c. 25000 – c. 5000 BBY,,25000–5000 BBY,-25000,-5000,-25000,-5000,1,c. 25000 – c. 5000 BBY,c. 25000 – c. 5000 BBY,c. 25 millennia – c. 1000 BBY,23,11
"The Temple of the Kyber is constructed on the cold, desert moon of Jedha.[21]",The Old Republic (c. 25 millennia – c. 1000 BBY),c. 25000 – c. 5000 BBY,,25000–5000 BBY,-25000,-5000,-25000,-5000,1,c. 25000 – c. 5000 BBY,c. 25000 – c. 5000 BBY,c. 25 millennia – c. 1000 BBY,24,12
Hylemane Lightbringer is born.[16],The Old Republic (c. 25 millennia – c. 1000 BBY),c. 25000 – c. 5000 BBY,,25000–5000 BBY,-25000,-5000,-25000,-5000,1,c. 25000 – c. 5000 BBY,c. 25000 – c. 5000 BBY,c. 25 millennia – c. 1000 BBY,25,13
"Hylemane Lightbringer is bludgeoned to death by a chair, disproving the myth that ""he could not be killed by mortal weapons.""[16]",The Old Republic (c. 25 millennia – c. 1000 BBY),c. 25000 – c. 5000 BBY,,25000–5000 BBY,-25000,-5000,-25000,-5000,1,c. 25000 – c. 5000 BBY,c. 25000 – c. 5000 BBY,c. 25 millennia – c. 1000 BBY,26,14
