time,yr_cleaned,event,era,sub_era,start,y-key
Dawn of time,Dawn of time,"The Big Bang occurs, creating the universe.[1]",Pre-Republic era,0,-14000000000,0
"13,000,000,000 BBY","13,000,000,000 BBY",The galaxy is formed.[1],Pre-Republic era,0,-13000000000,0
"5,000,000,000 BBY","5,000,000,000 BBY",Life emerges on Goroth Prime.[2],Pre-Republic era,0,-5000000000,0
"10,000,000 BBY","10,000,000 BBY",The planet Esseles undergoes a period of high volcanic activity.[3],Pre-Republic era,0,-10000000,0
"3,000,000 BBY","3,000,000 BBY",The planet Vinsoth is struck by an asteroid that wipes out nearly all life on the planet. The survivors eventually evolve into the Chevin species.[4],Pre-Republic era,0,-3000000,0
"2,000,000 BBY","2,000,000 BBY","The Wookiee species begin evolving on the planet Kashyyyk, becoming a species of tree-climbers.[4]",Pre-Republic era,0,-2000000,0
"1,000,000 BBY","1,000,000 BBY","An ancient aquatic civilization thrives on the planet Jerrilek, but eventually goes extinct in the following millennia.[5]",Pre-Republic era,0,-1000000,0
"1,000,000 BBY","1,000,000 BBY",The semi-intelligent ancestors to the Gorothites emerge on Goroth Prime.[2],Pre-Republic era,0,-1000000,1
"600,000 BBY","600,000 BBY","By this point, the cephalopod-crustacean hybrids known as ibliton have evolved on Randorn 2, leaving fossil records that are later analyzed by the Tyberious Institute of Xenobiology hundreds of thousands of years later.[6]",Pre-Republic era,0,-600000,0
"200,000 BBY","200,000 BBY","The Zhell, the early ancestors of the Human species, battles the Taung species for control of their mutual homeworld Notron (later known as Coruscant). Despite a loss at the city of Great Zhell that inspires the epic poem Dha Werda Verda, the Battalions of Zhell succeed in driving the Taung offworld.[7]",Pre-Republic era,0,-200000,0
"100,000 BBY","100,000 BBY","Roughly around this time, the Celestials accomplish a number of feats:[1] the construction of Centerpoint Station using the Killiks,[8] the subsequent construction of the Corellian system using Centerpoint, the Vultar system and its Cosmic Turbine, the Hapes Cluster, and the Kathol Rift.[1] The Maw black hole cluster was also constructed with Centerpoint during the Celestials' era of power to contain the Force entity known as Abeloth.[8]",Pre-Republic era,0,-100000,0
"100,000 BBY","100,000 BBY","The Columi species achieves interstellar spaceflight and surveys the ""primitive"" people of Duro and Notron, known by that point as Coruscant. However, they are disappointed by the developing Human and Duros civilizations and return to their homeworld of Columus in isolation.[9]",Pre-Republic era,0,-100000,1
