yr_cleaned,start,era,era_cleaned,sub_era,sub-sub-era,event_cleaned,source_text,sub-key,type,y-key,pivot,source_cleaned
Dawn of time,-14000000000,Pre-Republic era,Pre-Republic era,0,,"The Big Bang occurs, creating the universe.",The Essential Atlas,0,Legends,1,0,Other
"13,000,000,000 BBY",-13000000000,Pre-Republic era,Pre-Republic era,0,,The galaxy is formed.,The Essential Atlas,0,Legends,1,1,Other
"5,000,000,000 BBY",-5000000000,Pre-Republic era,Pre-Republic era,0,,Life emerges on Goroth Prime.,Goroth: Slave of the Empire,0,Legends,1,0,Other
"10,000,000 BBY",-10000000,Pre-Republic era,Pre-Republic era,0,,The planet Esseles undergoes a period of high volcanic activity.," ""Into the Core Worlds""—Star Wars Adventure Journal 7",0,Legends,1,1,Other
"3,000,000 BBY",-3000000,Pre-Republic era,Pre-Republic era,0,,The planet Vinsoth is struck by an asteroid that wipes out nearly all life on the planet. The survivors eventually evolve into the Chevin species.,The Essential Guide to Alien Species,0,Legends,1,0,Other
"2,000,000 BBY",-2000000,Pre-Republic era,Pre-Republic era,0,,"The Wookiee species begin evolving on the planet Kashyyyk, becoming a species of tree-climbers.",The Essential Guide to Alien Species,0,Legends,1,1,Other
"1,000,000 BBY",-1000000,Pre-Republic era,Pre-Republic era,0,,"An ancient aquatic civilization thrives on the planet Jerrilek, but eventually goes extinct in the following millennia."," ""Loyalties""—Star Wars Adventure Journal 4",0,Legends,1,0,Other
"1,000,000 BBY",-1000000,Pre-Republic era,Pre-Republic era,0,,The semi-intelligent ancestors to the Gorothites emerge on Goroth Prime.,Goroth: Slave of the Empire,1,Legends,2,0,Other
"600,000 BBY",-600000,Pre-Republic era,Pre-Republic era,0,,"By this point, the cephalopod-crustacean hybrids known as ibliton have evolved on Randorn 2, leaving fossil records that are later analyzed by the Tyberious Institute of Xenobiology hundreds of thousands of years later.",Creatures of the Galaxy,0,Legends,1,1,Other
"200,000 BBY",-200000,Pre-Republic era,Pre-Republic era,0,,"The Zhell, the early ancestors of the Human species, battles the Taung species for control of their mutual homeworld Notron (later known as Coruscant). Despite a loss at the city of Great Zhell that inspires the epic poem Dha Werda Verda, the Battalions of Zhell succeed in driving the Taung offworld."," Star Wars: The Essential Guide to Warfare Author's Cut, Part 2 — Ancient Coruscant on StarWars.com (article) (backup link)",0,Legends,1,0,Other
"100,000 BBY",-100000,Pre-Republic era,Pre-Republic era,0,,"The Muurshantre Extinction occurs, destroying the Taurannik Codex and scattering its remains.",Luke Skywalker and the Shadows of Mindor,4,Legends,1,1,Other
"100,000 BBY",-100000,Pre-Republic era,Pre-Republic era,0,,The winged thrantcills are first recorded flying south for winter on Coruscant.,The Cestus Deception,3,Legends,2,1,Other
"100,000 BBY",-100000,Pre-Republic era,Pre-Republic era,0,,"The Columi species achieves interstellar spaceflight and surveys the ""primitive"" people of Duro and Notron, known by that point as Coruscant. However, they are disappointed by the developing Human and Duros civilizations and return to their homeworld of Columus in isolation.",The New Essential Chronology,1,Legends,3,1,Other
"100,000 BBY",-100000,Pre-Republic era,Pre-Republic era,0,,"Roughly around this time, the Celestials accomplish a number of feats: the construction of Centerpoint Station using the Killiks, the subsequent construction of the Corellian system using Centerpoint, the Vultar system and its Cosmic Turbine, the Hapes Cluster, and the Kathol Rift. The Maw black hole cluster was also constructed with Centerpoint during the Celestials' era of power to contain the Force entity known as Abeloth.","The Essential Atlas, Fate of the Jedi: Apocalypse",0,Legends,4,1,Other
